,Data Label,Description
124,HVAC_HVACDewpointSupplyAir,HVAC Temp_DewP Instantaneous dewpoint temperature of air in supply duct after indoor unit °C
125,HVAC_HVACTempReturnAir,HVAC Temp_Air Instantaneous dry bulb temperature of air in return duct prior to indoor unit °C
126,HVAC_HVACTempSupplyAir,HVAC Temp_Air Instantaneous dry bulb temperature of air in supply duct after indoor unit °C
127,IndEnv_BasementRH,"IndEnv RH Relative humidity in basement, on a scale of 0 to 1 "
128,IndEnv_Bedroom2RH,"IndEnv RH Relative humidity in bedroom 2 on second floor, on a scale of 0 to 1 "
129,IndEnv_Bedroom3RH,"IndEnv RH Relative humidity in bedroom 3 on second floor, on a scale of 0 to 1 "
130,IndEnv_KitchenRH,"IndEnv RH Relative humidity in kitchen, on a scale of 0 to 1 "
131,IndEnv_LivingRmRH,"IndEnv RH Relative humidity in living room, on a scale of 0 to 1 "
132,IndEnv_MastBedRmRH,"IndEnv RH Relative humidity in master bedroom, on a scale of 0 to 1 "
133,IndEnv_MBARH,"IndEnv RH Relative humidity in master bathroom, on a scale of 0 to 1 "
134,IndEnv_RadiantTempBR2,IndEnv Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 2 on second floor °C
135,IndEnv_RadiantTempBR3,IndEnv Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 3 on second floor °C
136,IndEnv_RadiantTempKitchen,IndEnv Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in the kitchen °C
137,IndEnv_RadiantTempLR,IndEnv Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in the living room °C
138,IndEnv_RadiantTempMBR,IndEnv Temp_Rad Instantaneous drybulb temperature within the radiant temperature sensor in the master bedroom °C
139,IndEnv_RoomTempAtticNE,IndEnv Temp_Air Instantaneous drybulb temperature in northeast quadrant of attic °C
140,IndEnv_RoomTempAtticNW,IndEnv Temp_Air Instantaneous drybulb temperature in northwest quadrant of attic °C
141,IndEnv_RoomTempAtticSE,IndEnv Temp_Air Instantaneous drybulb temperature in southeast quadrant of attic °C
142,IndEnv_RoomTempAtticSW,IndEnv Temp_Air Instantaneous drybulb temperature in southwest quadrant of attic °C
143,IndEnv_RoomTempBA1Temp,IndEnv Temp_Air Instantaneous drybulb temperature in bathroom 1 on first floor °C
144,IndEnv_RoomTempBA2Temp,IndEnv Temp_Air Instantaneous drybulb temperature in bathroom 2 on second floor °C
145,IndEnv_RoomTempBasementNE,IndEnv Temp_Air Instantaneous drybulb temperature in middle of northeast quadrant of basement °C
146,IndEnv_RoomTempBasementNW,IndEnv Temp_Air Instantaneous drybulb temperature in middle of northwest quadrant of basement °C
147,IndEnv_RoomTempBasementSE,IndEnv Temp_Air Instantaneous drybulb temperature in middle of southeast quadrant of basement °C
148,IndEnv_RoomTempBasementSW,IndEnv Temp_Air Instantaneous drybulb temperature in middle of southwest quadrant of basement °C
149,IndEnv_RoomTempBR2Temp,IndEnv Temp_Air Instantaneous drybulb temperature in bedroom 2 on second floor °C
150,IndEnv_RoomTempBR3Temp,IndEnv Temp_Air Instantaneous drybulb temperature in bedroom 3 on second floor °C
151,IndEnv_RoomTempBR4Temp,IndEnv Temp_Air Instantaneous drybulb temperature in bedroom 4 °C
152,IndEnv_RoomTempDRTemp,IndEnv Temp_Air Instantaneous drybulb temperature in dining room °C
153,IndEnv_RoomTempHallLowerMid,"IndEnv Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 1.8 m °C"
154,IndEnv_RoomTempHallLowest,"IndEnv Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 0.6 m °C"
155,IndEnv_RoomTempHallMiddle,"IndEnv Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 3.0 m °C"
156,IndEnv_RoomTempHallUpper,"IndEnv Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 5.5 m °C"
157,IndEnv_RoomTempHallUpperMid,"IndEnv Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 4.3 m °C"
158,IndEnv_RoomTempKitchenTemp,IndEnv Temp_Air Instantaneous drybulb temperature in kitchen °C
159,IndEnv_RoomTempLRTemp,IndEnv Temp_Air Instantaneous drybulb temperature in living room °C
160,IndEnv_RoomTempMBATemp,IndEnv Temp_Air Instantaneous drybulb temperature in master bathroom on second floor °C
161,IndEnv_RoomTempMBRTemp,IndEnv Temp_Air Instantaneous drybulb temperature in master bedroom on second floor °C
162,IndEnv_RoomTempWDTemp,IndEnv Temp_Air Instantaneous drybulb temperature in utility closet holding clothes washer and dryer °C
163,Elec_EnergyPlugsInstBR4A,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4 Wh
164,Elec_EnergyPlugsInstBR4B,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4 Wh
165,Elec_EnergyPlugsInstLRA,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room Wh
166,Elec_EnergyPlugsInstLRB,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room Wh
167,Elec_EnergyPlugsInstBA2,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 2 Wh
168,Elec_EnergyPlugsInstMBAB,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in master bathroom Wh
169,Elec_EnergyPlugsGSHPInstrumentation,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation connected to ground source heat pump test apparatus Wh
170,Elec_EnergyPlugsInstMBRA,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in the master bedroom Wh
171,Elec_EnergyPlugsInstBR2Hall,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 2 Wh
172,Elec_EnergyPlugsInstHall,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in entry hallway Wh
173,Elec_EnergyLightingControlPanelRPS1,Instr Energy_Electrical Cumulative energy consumption from midnight by lighting control panel located in basement Wh
174,Elec_EnergyPlugsInstBR3,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 3 Wh
175,Elec_EnergyHeatLoadforRefrigerator,Instr Energy_Thermal Cumulative heat energy added to compartment of refrigerator to simulate opening and adding warm items Wh
176,Elec_EnergyPlugsInstMudroomA,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom Wh
177,Elec_EnergyLightingControlPanelRPS2,Instr Energy_Electrical Cumulative energy consumption from midnight by lighting control panel located in basement Wh
178,Elec_EnergyPlugsHVACInstrumentation,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation connected to heat pump  Wh
179,Elec_EnergyPlugsInstKitD,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation located in kitchen Wh
180,Elec_EnergyPlugsInstBA1,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 1 Wh
181,Elec_EnergyPlugsInstKitA,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in kitchen Wh
182,Elec_EnergyPlugsInstMudroomB,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom Wh
183,Elec_EnergyPlugsInstDRA,Instr Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in dining room Wh
184,Elec_PowerPlugsInstBR4A,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4 W
185,Elec_PowerPlugsInstBR4B,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4 W
186,Elec_PowerPlugsInstLRA,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in living room W
187,Elec_PowerPlugsInstLRB,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in living room W
188,Elec_PowerPlugsInstBA2,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 2 W
189,Elec_PowerPlugsInstMBAB,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in master bathroom W
190,Elec_PowerPlugsGSHPInstrumentation,Instr Power_Electrical Instantaneous power consumption by instrumentation connected to ground source heat pump test apparatus W
191,Elec_PowerPlugsInstMBRA,Instr Power_Electrical Instantaneous power by instrumentation plugged into receptacles in the master bedroom W
192,Elec_PowerPlugsInstBR2Hall,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 2 W
193,Elec_PowerPlugsInstHall,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in entry hallway W
194,Elec_PowerLightingControlPanelRPS1,Instr Power_Electrical Instantaneous power consumption by lighting control panel located in basement W
195,Elec_PowerPlugsInstBR3,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 3 W
196,Elec_PowerHeatLoadforRefrigerator,Instr Power_Thermal Instantaneous power of heat load in refrigerator to simulate opening and adding warm items W
197,Elec_PowerPlugsInstMudroomA,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in mudroom W
198,Elec_PowerLightingControlPanelRPS2,Instr Power_Electrical Instantaneous power consumption by lighting control panel located in basement W
199,Elec_PowerPlugsHVACInstrumentation,Instr Power_Electrical Instantaneous power consumption by instrumentation connected to heat pump  W
200,Elec_PowerPlugsInstKitD,Instr Power_Electrical Instantaneous power consumption by instrumentation located in kitchen W
201,Elec_PowerPlugsInstBA1,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 1 W
202,Elec_PowerPlugsInstKitA,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in kitchen W
203,Elec_PowerPlugsInstMudroomB,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in mudroom W
204,Elec_PowerPlugsInstDRA,Instr Power_Electrical Instantaneous power consumption by instrumentation plugged into receptacles in dining room W
205,Elec_EnergyLightsBasementStair,Lighting Energy_Electrical Cumulative energy consumption of lights over basement stairs from midnight Wh
206,Elec_EnergyLights2ndFloor,Lighting Energy_Electrical Cumulative energy consumption of lighting in bathroom 2 from midnight Wh
207,Elec_EnergyLights1stFloorA,"Lighting Energy_Electrical Cumulative energy consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.   Wh"
208,Elec_EnergyLights1stFloorB,"Lighting Energy_Electrical Cumulative energy consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room Wh"
209,Elec_EnergyLightsBasement,Lighting Energy_Electrical Cumulative energy consumption from midnight by lights activated in basement Wh
210,Elec_EnergyLightsAttic,Lighting Energy_Electrical Cumulative energy consumption from midnight by lights activated in attic Wh
211,Elec_PowerLightsBasementStair,Lighting Power_Electrical Instantaneous power used by lights over basement stairs W
212,Elec_PowerLights2ndFloor,Lighting Power_Electrical Instantaneous power consumption of lighting in bathroom 2  W
213,Elec_PowerLights1stFloorA,"Lighting Power_Electrical Instantaneous power consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.   W"
214,Elec_PowerLights1stFloorB,"Lighting Power_Electrical Instantaneous power consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room W"
215,Elec_PowerLightsBasement,Lighting Power_Electrical Instantaneous power consumption by lights activated in basement W
216,Elec_PowerLightsAttic,Lighting Power_Electrical Instantaneous power consumption by lights activated in attic W
217,Elec_EnergyChildBDownstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of child B in the dining room Wh
218,Elec_EnergyChildADownstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of child A in the living room Wh
219,Elec_EnergyParentAUpstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent A in the master bedroom  Wh
220,Elec_EnergyChildAUpstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of child A in bedroom 2 Wh
221,Elec_EnergyChildBUpstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of child B in bedroom 3 Wh
222,Elec_EnergyParentBUpstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent B in master bedroom  Wh
223,Elec_EnergyParentBDownstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent B in dining room  Wh
224,Elec_EnergyParentADownstairs,Loads Energy_Thermal Cumulative heat energy given off from midnight by emulator of parent A in the kitchen Wh
225,Elec_PowerChildBDownstairs,Loads Power_Thermal Instantaneous power consumption by emulator of child B in the dining room W
226,Elec_PowerChildADownstairs,Loads Power_Thermal Instantaneous power consumption by emulator of child A in the living room W
