ID,Data Label,Description
153,IndEnv_RoomTempHallLowerMid,"IndEnv_RoomTempHallLowerMid IndEnv Entry Hallway Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 1.8 m °C"
154,IndEnv_RoomTempHallLowest,"IndEnv_RoomTempHallLowest IndEnv Entry Hallway Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 0.6 m °C"
155,IndEnv_RoomTempHallMiddle,"IndEnv_RoomTempHallMiddle IndEnv Entry Hallway Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 3.0 m °C"
156,IndEnv_RoomTempHallUpper,"IndEnv_RoomTempHallUpper IndEnv Entry Hallway Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 5.5 m °C"
157,IndEnv_RoomTempHallUpperMid,"IndEnv_RoomTempHallUpperMid IndEnv Entry Hallway Temp_Air Instantaneous drybulb temperature in center hallway, measured at a height of 4.3 m °C"
158,IndEnv_RoomTempKitchenTemp,IndEnv_RoomTempKitchenTemp IndEnv Kitchen Temp_Air Instantaneous drybulb temperature in kitchen °C
159,IndEnv_RoomTempLRTemp,IndEnv_RoomTempLRTemp IndEnv Living Room Temp_Air Instantaneous drybulb temperature in living room °C
160,IndEnv_RoomTempMBATemp,IndEnv_RoomTempMBATemp IndEnv MBath Temp_Air Instantaneous drybulb temperature in master bathroom on second floor °C
161,IndEnv_RoomTempMBRTemp,IndEnv_RoomTempMBRTemp IndEnv Master Bedroom Temp_Air Instantaneous drybulb temperature in master bedroom on second floor °C
162,IndEnv_RoomTempWDTemp,IndEnv_RoomTempWDTemp IndEnv Kitchen Temp_Air Instantaneous drybulb temperature in utility closet holding clothes washer and dryer °C
163,Elec_EnergyPlugsInstBR4A,Elec_EnergyPlugsInstBR4A Instr Bedroom4 Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4 Wh
164,Elec_EnergyPlugsInstBR4B,Elec_EnergyPlugsInstBR4B Instr Bedroom4 Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4 Wh
165,Elec_EnergyPlugsInstLRA,Elec_EnergyPlugsInstLRA Instr Living Room Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room Wh
166,Elec_EnergyPlugsInstLRB,Elec_EnergyPlugsInstLRB Instr Living Room Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room Wh
167,Elec_EnergyPlugsInstBA2,Elec_EnergyPlugsInstBA2 Instr Bath2 Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 2 Wh
168,Elec_EnergyPlugsInstMBAB,Elec_EnergyPlugsInstMBAB Instr MBath Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in master bathroom Wh
169,Elec_EnergyPlugsGSHPInstrumentation,Elec_EnergyPlugsGSHPInstrumentation Instr Basement Energy_Electrical Cumulative energy consumption from midnight by instrumentation connected to ground source heat pump test apparatus Wh
170,Elec_EnergyPlugsInstMBRA,Elec_EnergyPlugsInstMBRA Instr Master Bedroom Energy_Electrical Cumulative energy consumption from midnight by instrumentation plugged into receptacles in the master bedroom Wh
